country_name,exposure_g4,isco4_share,isco6_share
Burundi,0.2626163584163733,0.34130312914024596,82.17780748420208
Afghanistan,0.4729417967198679,0.148035361011207,49.08103239720758
Madagascar,0.49152954239660335,0.8829138916661037,52.67378089129488
Mozambique,0.49656025304542434,0.48024655603763655,72.94687072039608
"Tanzania, United Republic of",0.5090472615201468,0.5579123021368044,60.79907475689791
Lao People's Democratic Republic,0.5440124216867543,0.18010321167912338,64.41787478780168
Ethiopia,0.5478546940804848,0.5458345085238417,51.35772795431953
"Congo, Democratic Republic of the",0.550560817006827,0.5075988341620369,73.8897313172878
Uganda,0.5955619583160908,0.3722247895606889,60.44871334765486
Niger,0.6214282951774905,0.5550348229502541,73.00193783104434
Lesotho,0.7099469941765333,0.9412201130559591,33.62686554158435
Kenya,0.7318558172985785,0.9758053720203987,35.441099309639846
Chad,0.7349509558669566,1.2070555857981007,71.37675406762233
Burkina Faso,0.7721589386759447,0.5440908993970709,54.318630273597954
Mali,0.7896003905688281,0.8150168796444229,64.63550264797608
